"filename", "language", "Markdown", "JSON with Comments", "pip requirements", "C++", "JSON", "C#", "TypeScript JSX", "Python", "Rust", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\CLAUDE.md", "Markdown", 316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 406
"c:\Users\ankit\Downloads\xace\MASTER_PLAN.md", "Markdown", 651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 802
"c:\Users\ankit\Downloads\xace\README.md", "Markdown", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 60
"c:\Users\ankit\Downloads\xace\adapters\unity\XaceConsoleWidget.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\adapters\unity\XaceDeltaApplicator.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\adapters\unity\XaceInputCollector.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\adapters\unity\XaceTransport.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\adapters\unreal\XaceConsoleWidget.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\adapters\unreal\XaceConsoleWidget.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\adapters\unreal\XaceDeltaApplicator.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\adapters\unreal\XaceDeltaApplicator.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\adapters\unreal\XaceInputCollector.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\adapters\unreal\XaceInputCollector.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\adapters\unreal\XaceTransport.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\adapters\unreal\XaceTransport.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\docs\00_philosophy.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\ankit\Downloads\xace\docs\01_system_overview.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\ankit\Downloads\xace\docs\02_canonical_data_models.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\ankit\Downloads\xace\docs\03_module_specs.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\ankit\Downloads\xace\docs\04_contracts.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
