"filename", "language", "Rust", "C#", "Markdown", "Python", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\README.md", "Markdown", 0, 0, 101, 0, 0, 188, 289
"c:\Users\ankit\Downloads\xace\adapters\unity\XaceConsoleWidget.cs", "C#", 0, 346, 0, 0, 69, 66, 481
"c:\Users\ankit\Downloads\xace\adapters\unity\XaceDeltaApplicator.cs", "C#", 0, 405, 0, 0, 84, 111, 600
"c:\Users\ankit\Downloads\xace\adapters\unity\XaceInputCollector.cs", "C#", 0, 230, 0, 0, 59, 46, 335
"c:\Users\ankit\Downloads\xace\adapters\unity\XaceTransport.cs", "C#", 0, 299, 0, 0, 81, 65, 445
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\cgs.rs", "Rust", 168, 0, 0, 0, 62, 38, 268
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\lib.rs", "Rust", 6, 0, 0, 0, 31, 2, 39
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\runner.rs", "Rust", 290, 0, 0, 0, 94, 62, 446
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\ai_system.rs", "Rust", 96, 0, 0, 0, 39, 31, 166
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\damage_system.rs", "Rust", 77, 0, 0, 0, 32, 21, 130
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\death_system.rs", "Rust", 52, 0, 0, 0, 26, 16, 94
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\input_system.rs", "Rust", 53, 0, 0, 0, 27, 18, 98
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\mod.rs", "Rust", 5, 0, 0, 0, 8, 1, 14
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\movement_system.rs", "Rust", 63, 0, 0, 0, 25, 20, 108
"c:\Users\ankit\Downloads\xace\packages\asset registry\animation_contract.py", "Python", 0, 0, 0, 206, 95, 54, 355
"c:\Users\ankit\Downloads\xace\packages\asset registry\animation_contract_generator.py", "Python", 0, 0, 0, 222, 129, 46, 397
"c:\Users\ankit\Downloads\xace\packages\asset registry\asset_cleanup_manager.py", "Python", 0, 0, 0, 126, 119, 41, 286
