"filename", "language", "Markdown", "Python", "Rust", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\MASTER_PLAN.md", "Markdown", 99, 0, 0, 0, 14, 113
"c:\Users\ankit\Downloads\xace\packages\engine-adapter\src\transport\shm_transport.rs", "Rust", 0, 0, -294, -230, -80, -604
"c:\Users\ankit\Downloads\xace\packages\gde\src\consistency_validator\conflict_detector.py", "Python", 0, 155, 0, 104, 39, 298
"c:\Users\ankit\Downloads\xace\packages\gde\src\consistency_validator\consistency_validator.py", "Python", 0, 127, 0, 103, 30, 260
"c:\Users\ankit\Downloads\xace\packages\gde\src\consistency_validator\invariant_enforcer.py", "Python", 0, 247, 0, 73, 43, 363
"c:\Users\ankit\Downloads\xace\packages\gde\src\consistency_validator\type_checker.py", "Python", 0, 281, 0, 74, 30, 385
"c:\Users\ankit\Downloads\xace\packages\gde\src\domain_dsl\rule_grammar\rule_expression_validator.py", "Python", 0, 206, 0, 84, 47, 337
"c:\Users\ankit\Downloads\xace\packages\gde\src\gde_orchestrator.py", "Python", 0, 256, 0, 132, 57, 445
"c:\Users\ankit\Downloads\xace\packages\gde\src\mode_profiles\mode_profile_loader.py", "Python", 0, 201, 0, 102, 40, 343
"c:\Users\ankit\Downloads\xace\packages\gde\src\mode_profiles\profile_expander.py", "Python", 0, 143, 0, 88, 32, 263
"c:\Users\ankit\Downloads\xace\packages\gde\src\prompt_interpretation\intent_classifier.py", "Python", 0, 173, 0, 94, 46, 313
"c:\Users\ankit\Downloads\xace\packages\gde\src\prompt_interpretation\intent_object.py", "Python", 0, 160, 0, 98, 33, 291
"c:\Users\ankit\Downloads\xace\packages\gde\src\tests\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\gde\src\tests\test_cgs_manager.py", "Python", 0, 216, 0, 20, 55, 291
"c:\Users\ankit\Downloads\xace\packages\gde\src\tests\test_consistency_validator.py", "Python", 0, 325, 0, 12, 73, 410
"c:\Users\ankit\Downloads\xace\packages\gde\src\tests\test_dsl_path_addressing.py", "Python", 0, 277, 0, 12, 65, 354
"c:\Users\ankit\Downloads\xace\packages\gde\src\tests\test_gde_orchestrator.py", "Python", 0, 283, 0, 29, 63, 375
"c:\Users\ankit\Downloads\xace\packages\gde\src\tests\test_transaction_executor.py", "Python", 0, 313, 0, 15, 70, 398
"Total", "-", 99, 3363, -294, 810, 658, 4636
