"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\packages\inference\providers\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\inference\providers\anthropic_provider.py", "Python", 172, 80, 28, 280
"c:\Users\ankit\Downloads\xace\packages\inference\providers\google_provider.py", "Python", 191, 68, 31, 290
"c:\Users\ankit\Downloads\xace\packages\inference\providers\local_provider.py", "Python", 176, 62, 23, 261
"c:\Users\ankit\Downloads\xace\packages\inference\providers\open_ai._provider.py", "Python", 189, 88, 37, 314
"c:\Users\ankit\Downloads\xace\packages\inference\src\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\inference\src\byok_manager.py", "Python", 193, 127, 46, 366
"c:\Users\ankit\Downloads\xace\packages\inference\src\cache_key_builder.py", "Python", 144, 127, 27, 298
"c:\Users\ankit\Downloads\xace\packages\inference\src\complexity_classifier.py", "Python", 185, 183, 47, 415
"c:\Users\ankit\Downloads\xace\packages\inference\src\cost_estimator.py", "Python", 207, 160, 49, 416
"c:\Users\ankit\Downloads\xace\packages\inference\src\fallback_policy.py", "Python", 175, 146, 53, 374
"c:\Users\ankit\Downloads\xace\packages\inference\src\inference_adapter.py", "Python", 240, 165, 50, 455
"c:\Users\ankit\Downloads\xace\packages\inference\src\inference_budget.py", "Python", 237, 130, 56, 423
"c:\Users\ankit\Downloads\xace\packages\inference\src\inference_retry_policy.py", "Python", 172, 156, 40, 368
"c:\Users\ankit\Downloads\xace\packages\inference\src\model_descriptor.py", "Python", 338, 143, 55, 536
"c:\Users\ankit\Downloads\xace\packages\inference\src\model_router.py", "Python", 182, 151, 43, 376
"c:\Users\ankit\Downloads\xace\packages\inference\src\prompt_cache.py", "Python", 175, 146, 53, 374
"c:\Users\ankit\Downloads\xace\packages\inference\src\prompt_template_registry.py", "Python", 367, 121, 47, 535
"c:\Users\ankit\Downloads\xace\packages\inference\src\provider_registry.py", "Python", 160, 147, 47, 354
"c:\Users\ankit\Downloads\xace\packages\inference\src\response_cache.py", "Python", 289, 113, 69, 471
"c:\Users\ankit\Downloads\xace\packages\inference\src\telemetry_pipeline.py", "Python", 199, 100, 61, 360
"c:\Users\ankit\Downloads\xace\packages\inference\src\token_estimator.py", "Python", 158, 144, 43, 345
"c:\Users\ankit\Downloads\xace\packages\inference\tests\test_complexity_classifier.py", "Python", 215, 19, 64, 298
"c:\Users\ankit\Downloads\xace\packages\inference\tests\test_inference_budget.py", "Python", 164, 19, 54, 237
"c:\Users\ankit\Downloads\xace\packages\inference\tests\test_model_router.py", "Python", 244, 22, 70, 336
"c:\Users\ankit\Downloads\xace\packages\inference\tests\test_prompt_cache.py", "Python", 305, 19, 72, 396
"c:\Users\ankit\Downloads\xace\packages\inference\tests\test_telemetry_pipeline.py", "Python", 232, 11, 45, 288
"Total", "-", 5309, 2647, 1212, 9168
