"filename", "language", "Python", "Rust", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\packages\prompt-intelligence\src\intent_intake\intent_classifier.py", "Python", 170, 0, 120, 53, 343
"c:\Users\ankit\Downloads\xace\packages\prompt-intelligence\src\intent_intake\intent_envelope.py", "Python", 154, 0, 130, 34, 318
"c:\Users\ankit\Downloads\xace\packages\prompt-intelligence\src\intent_intake\intent_intake_layer.py", "Python", 103, 0, 110, 25, 238
"c:\Users\ankit\Downloads\xace\packages\prompt-intelligence\src\intent_intake\prompt_normalizer.py", "Python", 128, 0, 148, 41, 317
"c:\Users\ankit\Downloads\xace\packages\prompt-intelligence\src\intent_intake\risk_prescanner.py", "Python", 137, 0, 125, 34, 296
"c:\Users\ankit\Downloads\xace\packages\prompt-intelligence\src\mode_controller\mode_controller.py", "Python", 172, 0, 199, 41, 412
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\determinism_guard\determinism_guard.rs", "Rust", 0, 3, 16, 3, 22
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\query_engine\tests\mod.rs", "Rust", 0, 1, 0, 1, 2
"c:\Users\ankit\Downloads\xace\packages\runtime-core\tests\mod.rs", "Rust", 0, 4, 0, 0, 4
"c:\Users\ankit\Downloads\xace\packages\runtime-core\tests\test_archetype.rs", "Rust", 0, 273, 22, 57, 352
"c:\Users\ankit\Downloads\xace\packages\runtime-core\tests\test_d3_preservation.rs", "Rust", 0, 227, 61, 66, 354
"c:\Users\ankit\Downloads\xace\packages\runtime-core\tests\test_storage_router.rs", "Rust", 0, 163, 15, 23, 201
"Total", "-", 864, 671, 946, 378, 2859
