"filename", "language", "Rust", "Markdown", "JSON with Comments", "TypeScript JSX", "C++", "C#", "JSON", "pip requirements", "Python", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\CLAUDE.md", "Markdown", 0, 316, 0, 0, 0, 0, 0, 0, 0, 0, 90, 406
"c:\Users\ankit\Downloads\xace\MASTER_PLAN.md", "Markdown", 0, 750, 0, 0, 0, 0, 0, 0, 0, 0, 165, 915
"c:\Users\ankit\Downloads\xace\README.md", "Markdown", 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 202, 349
"c:\Users\ankit\Downloads\xace\adapters\unity\XaceConsoleWidget.cs", "C#", 0, 0, 0, 0, 0, 346, 0, 0, 0, 70, 67, 483
"c:\Users\ankit\Downloads\xace\adapters\unity\XaceDeltaApplicator.cs", "C#", 0, 0, 0, 0, 0, 405, 0, 0, 0, 85, 112, 602
"c:\Users\ankit\Downloads\xace\adapters\unity\XaceInputCollector.cs", "C#", 0, 0, 0, 0, 0, 230, 0, 0, 0, 60, 47, 337
"c:\Users\ankit\Downloads\xace\adapters\unity\XaceTransport.cs", "C#", 0, 0, 0, 0, 0, 299, 0, 0, 0, 82, 66, 447
"c:\Users\ankit\Downloads\xace\adapters\unity\Xace_embedded.cs", "C#", 0, 0, 0, 0, 0, 223, 0, 0, 0, 85, 63, 371
"c:\Users\ankit\Downloads\xace\adapters\unreal\XaceConsoleWidget.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\adapters\unreal\XaceConsoleWidget.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\adapters\unreal\XaceDeltaApplicator.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\adapters\unreal\XaceDeltaApplicator.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\adapters\unreal\XaceInputCollector.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\adapters\unreal\XaceInputCollector.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\adapters\unreal\XaceTransport.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\adapters\unreal\XaceTransport.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\docs\00_philosophy.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\ankit\Downloads\xace\docs\01_system_overview.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\ankit\Downloads\xace\docs\02_canonical_data_models.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\ankit\Downloads\xace\docs\03_module_specs.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\ankit\Downloads\xace\docs\04_contracts.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\ankit\Downloads\xace\docs\05_mutation_lifecycle.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\ankit\Downloads\xace\docs\06_determinism_guarantees.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\ankit\Downloads\xace\docs\07_global_invariants.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\ankit\Downloads\xace\docs\08_failure_classification.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\ankit\Downloads\xace\docs\09_state_machines.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\ankit\Downloads\xace\docs\10_versioning_and_build_order.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\cgs.rs", "Rust", 168, 0, 0, 0, 0, 0, 0, 0, 0, 62, 38, 268
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\lib.rs", "Rust", 6, 0, 0, 0, 0, 0, 0, 0, 0, 31, 2, 39
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\runner.rs", "Rust", 290, 0, 0, 0, 0, 0, 0, 0, 0, 94, 62, 446
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\ai_system.rs", "Rust", 96, 0, 0, 0, 0, 0, 0, 0, 0, 39, 31, 166
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\damage_system.rs", "Rust", 77, 0, 0, 0, 0, 0, 0, 0, 0, 32, 21, 130
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\death_system.rs", "Rust", 52, 0, 0, 0, 0, 0, 0, 0, 0, 26, 16, 94
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\input_system.rs", "Rust", 53, 0, 0, 0, 0, 0, 0, 0, 0, 27, 18, 98
