"filename", "language", "JSON", "JSON with Comments", "Rust", "Python", "TypeScript", "Markdown", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\XACE_File_Manifest_v2.md", "Markdown", 0, 0, 0, 0, 0, -291, 0, -1, -292
"c:\Users\ankit\Downloads\xace\game.cgs.json", "JSON", 197, 0, 0, 0, 0, 0, 0, 1, 198
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\api\builder_client.ts", "TypeScript", 0, 0, 0, 0, -221, 0, -49, -56, -326
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\api\message_types.ts", "TypeScript", 0, 0, 0, 0, -170, 0, -53, -33, -256
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\canvas\clarification_cards.ts", "TypeScript", 0, 0, 0, 0, -384, 0, -23, -29, -436
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\canvas\diff_viewer.ts", "TypeScript", 0, 0, 0, 0, -255, 0, -22, -33, -310
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\canvas\prompt_input.ts", "TypeScript", 0, 0, 0, 0, -303, 0, -33, -37, -373
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\graph\schema_graph_view.ts", "TypeScript", 0, 0, 0, 0, -523, 0, -58, -93, -674
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\graph\system_node_graph.ts", "TypeScript", 0, 0, 0, 0, -315, 0, -18, -40, -373
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\layout\bottom_bar.ts", "TypeScript", 0, 0, 0, 0, -430, 0, -21, -35, -486
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\ollama_adapter.py", "Python", 0, 0, 0, 177, 0, 0, 70, 34, 281
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\package-lock.json", "JSON", 1041, 0, 0, 0, 0, 0, 0, 1, 1042
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\package.json", "JSON", -2, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\server\builder_server.py", "Python", 0, 0, 0, 97, 0, 0, 14, 0, 111
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\server\cgs_persistence.py", "Python", 0, 0, 0, 29, 0, 0, 22, 6, 57
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\server\session_manager.py", "Python", 0, 0, 0, 490, 0, 0, 47, 89, 626
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\server\ws_message_router.py", "Python", 0, 0, 0, 71, 0, 0, -6, 10, 75
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\sidebar\cgs_explorer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\sidebar\component_inspector.ts", "TypeScript", 0, 0, 0, 0, -229, 0, -23, -26, -278
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\sidebar\entity_tree.ts", "TypeScript", 0, 0, 0, 0, -349, 0, -24, -40, -413
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\sidebar\system_list.ts", "TypeScript", 0, 0, 0, 0, -239, 0, -12, -35, -286
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\api\builder_client.ts", "TypeScript", 0, 0, 0, 0, 221, 0, 49, 56, 326
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\api\message_types.ts", "TypeScript", 0, 0, 0, 0, 177, 0, 54, 34, 265
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\app.ts", "TypeScript", 0, 0, 0, 0, 41, 0, -4, -6, 31
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\canvas\builder_canvas.ts", "TypeScript", 0, 0, 0, 0, 271, 0, 53, 55, 379
