"filename", "language", "Rust", "Python", "C++", "JSON", "C#", "TypeScript", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\.xace\exports\godot\xace_export_manifest.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\ankit\Downloads\xace\.xace\exports\unity\XaceConsoleWidget.cs", "C#", 0, 0, 0, 0, 346, 0, 70, 67, 483
"c:\Users\ankit\Downloads\xace\.xace\exports\unity\XaceDeltaApplicator.cs", "C#", 0, 0, 0, 0, 405, 0, 85, 112, 602
"c:\Users\ankit\Downloads\xace\.xace\exports\unity\XaceInputCollector.cs", "C#", 0, 0, 0, 0, 230, 0, 60, 47, 337
"c:\Users\ankit\Downloads\xace\.xace\exports\unity\XaceTransport.cs", "C#", 0, 0, 0, 0, 299, 0, 82, 66, 447
"c:\Users\ankit\Downloads\xace\.xace\exports\unity\Xace_embedded.cs", "C#", 0, 0, 0, 0, 223, 0, 85, 63, 371
"c:\Users\ankit\Downloads\xace\.xace\exports\unity\xace_export_manifest.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 12
"c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceConsoleWidget.cpp", "C++", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceConsoleWidget.h", "C++", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceDeltaApplicator.cpp", "C++", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceDeltaApplicator.h", "C++", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceInputCollector.cpp", "C++", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceInputCollector.h", "C++", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceTransport.cpp", "C++", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceTransport.h", "C++", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\.xace\exports\unreal\xace_export_manifest.json", "JSON", 0, 0, 0, 15, 0, 0, 0, 0, 15
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\cgs.rs", "Rust", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\runner.rs", "Rust", 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\ai_system.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\damage_system.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\death_system.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\input_system.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\movement_system.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\server\builder_server.py", "Python", 0, 112, 0, 0, 0, 0, 11, 13, 136
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\server\ollama_adapter.py", "Python", 0, 139, 0, 0, 0, 0, 11, 26, 176
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\server\session_manager.py", "Python", 0, 32, 0, 0, 0, 0, 0, 2, 34
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\server\ws_message_router.py", "Python", 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\api\message_types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\app.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\canvas\model_selector.ts", "TypeScript", 0, 0, 0, 0, 0, -27, -12, 3, -36
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\console\xace_terminal.ts", "TypeScript", 0, 0, 0, 0, 0, 42, 0, 8, 50
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\layout\main_layout.ts", "TypeScript", 0, 0, 0, 0, 0, 118, 0, 8, 126
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\panels\asset_status_panel.ts", "TypeScript", 0, 0, 0, 0, 0, 1, -1, 0, 0
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\preview\engine_viewport.ts", "TypeScript", 0, 0, 0, 0, 0, 182, -32, 16, 166
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\state\cgs_store.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 2, 1, 8
