Date : 2026-05-29 10:45:10
Directory : c:\Users\ankit\Downloads\xace
Total : 230 files,  6941 codes, 490 comments, 1127 blanks, all 8558 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Rust       |        201 |      4,657 |        102 |        660 |      5,419 |
| C#         |          5 |      1,503 |        382 |        355 |      2,240 |
| Python     |          5 |        421 |         41 |         67 |        529 |
| TypeScript |          8 |        322 |        -43 |         37 |        316 |
| JSON       |          3 |         38 |          0 |          0 |         38 |
| C++        |          8 |          0 |          8 |          8 |         16 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |        230 |      6,941 |        490 |      1,127 |      8,558 |
| . (Files)                                                                                                              |          1 |        136 |         19 |         25 |        180 |
| .xace                                                                                                                  |         16 |      1,541 |        390 |        363 |      2,294 |
| .xace\exports                                                                                                          |         16 |      1,541 |        390 |        363 |      2,294 |
| .xace\exports\godot                                                                                                    |          1 |         11 |          0 |          0 |         11 |
| .xace\exports\unity                                                                                                    |          6 |      1,515 |        382 |        355 |      2,252 |
| .xace\exports\unreal                                                                                                   |          9 |         15 |          8 |          8 |         31 |
| examples                                                                                                               |          9 |         21 |          0 |          9 |         30 |
| examples\zombie-chase                                                                                                  |          9 |         21 |          0 |          9 |         30 |
| examples\zombie-chase\src                                                                                              |          9 |         21 |          0 |          9 |         30 |
| examples\zombie-chase\src (Files)                                                                                      |          3 |         21 |          0 |          3 |         24 |
| examples\zombie-chase\src\systems                                                                                      |          6 |          0 |          0 |          6 |          6 |
| packages                                                                                                               |        204 |      5,243 |         81 |        730 |      6,054 |
| packages\builder-workspace                                                                                             |         12 |        607 |        -21 |         79 |        665 |
| packages\builder-workspace\server                                                                                      |          4 |        285 |         22 |         42 |        349 |
| packages\builder-workspace\src                                                                                         |          8 |        322 |        -43 |         37 |        316 |
| packages\builder-workspace\src (Files)                                                                                 |          1 |          1 |          0 |          0 |          1 |
| packages\builder-workspace\src\api                                                                                     |          1 |          0 |          0 |          1 |          1 |
| packages\builder-workspace\src\canvas                                                                                  |          1 |        -27 |        -12 |          3 |        -36 |
| packages\builder-workspace\src\console                                                                                 |          1 |         42 |          0 |          8 |         50 |
| packages\builder-workspace\src\layout                                                                                  |          1 |        118 |          0 |          8 |        126 |
| packages\builder-workspace\src\panels                                                                                  |          1 |          1 |         -1 |          0 |          0 |
| packages\builder-workspace\src\preview                                                                                 |          1 |        182 |        -32 |         16 |        166 |
| packages\builder-workspace\src\state                                                                                   |          1 |          5 |          2 |          1 |          8 |
| packages\core                                                                                                          |         43 |       -173 |          2 |         34 |       -137 |
| packages\core\src                                                                                                      |         43 |       -173 |          2 |         34 |       -137 |
| packages\core\src (Files)                                                                                              |          2 |          1 |          0 |          1 |          2 |
| packages\core\src\contracts                                                                                            |          2 |        -61 |          0 |          2 |        -59 |
| packages\core\src\errors                                                                                               |          3 |         35 |          0 |          3 |         38 |
| packages\core\src\events                                                                                               |          3 |         -6 |          2 |          4 |          0 |
| packages\core\src\mutation                                                                                             |          4 |        -44 |          0 |          4 |        -40 |
| packages\core\src\runtime                                                                                              |          6 |        -63 |          0 |          6 |        -57 |
| packages\core\src\schema                                                                                               |          6 |         -6 |          0 |          2 |         -4 |
| packages\core\src\ucl                                                                                                  |         11 |         27 |          0 |          6 |         33 |
| packages\core\src\wire                                                                                                 |          6 |        -56 |          0 |          6 |        -50 |
| packages\engine-adapter                                                                                                |          1 |         -2 |          0 |          1 |         -1 |
| packages\network-core                                                                                                  |         35 |      2,482 |          6 |        384 |      2,872 |
| packages\network-core\src                                                                                              |         31 |      2,244 |          6 |        348 |      2,598 |
| packages\network-core\src (Files)                                                                                      |          1 |         53 |          6 |         15 |         74 |
| packages\network-core\src\authority                                                                                    |          4 |        179 |          0 |         26 |        205 |
| packages\network-core\src\input                                                                                        |          7 |      1,413 |          0 |        189 |      1,602 |
| packages\network-core\src\prediction                                                                                   |          5 |        163 |          0 |         28 |        191 |
| packages\network-core\src\replication                                                                                  |          4 |         96 |          0 |         21 |        117 |
| packages\network-core\src\session                                                                                      |          5 |        185 |          0 |         43 |        228 |
| packages\network-core\src\synchronisation                                                                              |          5 |        155 |          0 |         26 |        181 |
| packages\network-core\tests                                                                                            |          4 |        238 |          0 |         36 |        274 |
| packages\runtime-core                                                                                                  |         82 |      1,139 |         88 |        142 |      1,369 |
| packages\runtime-core\src                                                                                              |         78 |      1,112 |         88 |        152 |      1,352 |
| packages\runtime-core\src (Files)                                                                                      |          8 |        827 |         95 |         98 |      1,020 |
| packages\runtime-core\src\bin                                                                                          |          1 |         52 |         -9 |          7 |         50 |
| packages\runtime-core\src\component_tables                                                                             |         11 |         64 |          0 |         -1 |         63 |
| packages\runtime-core\src\component_tables (Files)                                                                     |          9 |         58 |          0 |         -3 |         55 |
| packages\runtime-core\src\component_tables\tests                                                                       |          2 |          6 |          0 |          2 |          8 |
| packages\runtime-core\src\dcl                                                                                          |          8 |        -42 |          0 |          7 |        -35 |
| packages\runtime-core\src\dcl (Files)                                                                                  |          1 |          0 |          0 |          1 |          1 |
| packages\runtime-core\src\dcl\character                                                                                |          7 |        -42 |          0 |          6 |        -36 |
| packages\runtime-core\src\dcl\character (Files)                                                                        |          4 |        -46 |          0 |          3 |        -43 |
| packages\runtime-core\src\dcl\character\tests                                                                          |          3 |          4 |          0 |          3 |          7 |
| packages\runtime-core\src\determinism_guard                                                                            |          7 |         91 |          0 |          6 |         97 |
| packages\runtime-core\src\determinism_guard (Files)                                                                    |          5 |         43 |          0 |          4 |         47 |
| packages\runtime-core\src\determinism_guard\tests                                                                      |          2 |         48 |          0 |          2 |         50 |
| packages\runtime-core\src\entity_store                                                                                 |          6 |        -28 |          0 |          6 |        -22 |
| packages\runtime-core\src\entity_store (Files)                                                                         |          4 |        -24 |          0 |          4 |        -20 |
| packages\runtime-core\src\entity_store\tests                                                                           |          2 |         -4 |          0 |          2 |         -2 |
| packages\runtime-core\src\event_bus                                                                                    |          6 |        -25 |          0 |          6 |        -19 |
| packages\runtime-core\src\event_bus (Files)                                                                            |          4 |        -20 |          0 |          4 |        -16 |
| packages\runtime-core\src\event_bus\tests                                                                              |          2 |         -5 |          0 |          2 |         -3 |
| packages\runtime-core\src\mutation_gate                                                                                |          6 |         45 |          0 |          6 |         51 |
| packages\runtime-core\src\mutation_gate (Files)                                                                        |          4 |         31 |          0 |          4 |         35 |
| packages\runtime-core\src\mutation_gate\tests                                                                          |          2 |         14 |          0 |          2 |         16 |
| packages\runtime-core\src\phase_orchestrator                                                                           |          7 |         96 |          0 |          6 |        102 |
| packages\runtime-core\src\phase_orchestrator (Files)                                                                   |          5 |         66 |          0 |          4 |         70 |
| packages\runtime-core\src\phase_orchestrator\tests                                                                     |          2 |         30 |          0 |          2 |         32 |
| packages\runtime-core\src\query_engine                                                                                 |          7 |         32 |          0 |         -1 |         31 |
| packages\runtime-core\src\query_engine (Files)                                                                         |          5 |         28 |          0 |         -2 |         26 |
| packages\runtime-core\src\query_engine\tests                                                                           |          2 |          4 |          0 |          1 |          5 |
| packages\runtime-core\src\snapshot_engine                                                                              |          6 |         -7 |          0 |          6 |         -1 |
| packages\runtime-core\src\snapshot_engine (Files)                                                                      |          4 |        -13 |          0 |          4 |         -9 |
| packages\runtime-core\src\snapshot_engine\tests                                                                        |          2 |          6 |          0 |          2 |          8 |
| packages\runtime-core\src\time_controller                                                                              |          5 |          7 |          2 |          6 |         15 |
| packages\runtime-core\src\time_controller (Files)                                                                      |          3 |          7 |          2 |          4 |         13 |
| packages\runtime-core\src\time_controller\tests                                                                        |          2 |          0 |          0 |          2 |          2 |
| packages\runtime-core\tests                                                                                            |          4 |         27 |          0 |        -10 |         17 |
| packages\save-engine                                                                                                   |          5 |        289 |          6 |         63 |        358 |
