"filename", "language", "Rust", "Python", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\packages\network-core\network_mode.py", "Python", 0, 75, 13, 21, 109
"c:\Users\ankit\Downloads\xace\packages\network-core\network_orchestrator.py", "Python", 0, 260, 7, 40, 307
"c:\Users\ankit\Downloads\xace\packages\network-core\src\authority\authority_resolver.rs", "Rust", 377, 0, 0, 34, 411
"c:\Users\ankit\Downloads\xace\packages\network-core\src\authority\authority_transfer.rs", "Rust", 224, 0, 0, 23, 247
"c:\Users\ankit\Downloads\xace\packages\network-core\src\authority\cheat_guard.rs", "Rust", 509, 0, 0, 33, 542
"c:\Users\ankit\Downloads\xace\packages\network-core\src\authority\mod.rs", "Rust", 7, 0, 0, 0, 7
"c:\Users\ankit\Downloads\xace\packages\network-core\src\input\input_broadcaster.rs", "Rust", 216, 0, 0, 28, 244
"c:\Users\ankit\Downloads\xace\packages\network-core\src\input\mod.rs", "Rust", 3, 0, 0, 0, 3
"c:\Users\ankit\Downloads\xace\packages\network-core\src\prediction\client_predictor.rs", "Rust", 212, 0, 0, 24, 236
"c:\Users\ankit\Downloads\xace\packages\network-core\src\prediction\mod.rs", "Rust", 7, 0, 0, 0, 7
"c:\Users\ankit\Downloads\xace\packages\network-core\src\prediction\prediction_buffer.rs", "Rust", 119, 0, 0, 18, 137
"c:\Users\ankit\Downloads\xace\packages\network-core\src\prediction\reconciliation_engine.rs", "Rust", 121, 0, 0, 10, 131
"c:\Users\ankit\Downloads\xace\packages\network-core\src\prediction\rollback_manager.rs", "Rust", 193, 0, 0, 24, 217
"c:\Users\ankit\Downloads\xace\packages\network-core\src\replication\interest_zone_manager.rs", "Rust", 352, 0, 0, 39, 391
"c:\Users\ankit\Downloads\xace\packages\network-core\src\replication\mod.rs", "Rust", 8, 0, 0, 0, 8
"c:\Users\ankit\Downloads\xace\packages\network-core\src\replication\relevance_filter.rs", "Rust", 254, 0, 0, 27, 281
"c:\Users\ankit\Downloads\xace\packages\network-core\src\replication\replication_manager.rs", "Rust", 387, 0, 0, 40, 427
"c:\Users\ankit\Downloads\xace\packages\network-core\src\session\connection_state.rs", "Rust", 26, 0, 0, 1, 27
"c:\Users\ankit\Downloads\xace\packages\network-core\src\session\mod.rs", "Rust", 2, 0, 0, 0, 2
"c:\Users\ankit\Downloads\xace\packages\network-core\src\session\peer.rs", "Rust", 100, 0, 0, 12, 112
"c:\Users\ankit\Downloads\xace\packages\network-core\src\session\peer_manager.rs", "Rust", 115, 0, 0, 16, 131
"c:\Users\ankit\Downloads\xace\packages\network-core\src\session\session_manager.rs", "Rust", 374, 0, 0, 42, 416
"c:\Users\ankit\Downloads\xace\packages\network-core\src\synchronisation\desync_detector.rs", "Rust", 174, 0, 0, 21, 195
"c:\Users\ankit\Downloads\xace\packages\network-core\src\synchronisation\late_join_handler.rs", "Rust", 177, 0, 0, 22, 199
"c:\Users\ankit\Downloads\xace\packages\network-core\src\synchronisation\mod.rs", "Rust", 6, 0, 0, 0, 6
"c:\Users\ankit\Downloads\xace\packages\network-core\src\synchronisation\resync_engine.rs", "Rust", 249, 0, 0, 24, 273
"c:\Users\ankit\Downloads\xace\packages\network-core\src\synchronisation\tick_barrier.rs", "Rust", 115, 0, 0, 16, 131
"c:\Users\ankit\Downloads\xace\packages\network-core\tests\test_broadcaster_and_peers.rs", "Rust", 78, 0, 0, 15, 93
"c:\Users\ankit\Downloads\xace\packages\network-core\tests\test_cheat_guard.rs", "Rust", 119, 0, 0, 12, 131
"c:\Users\ankit\Downloads\xace\packages\network-core\tests\test_client_prediction.rs", "Rust", 105, 0, 0, 10, 115
"c:\Users\ankit\Downloads\xace\packages\network-core\tests\test_desync_detection.rs", "Rust", 98, 0, 0, 14, 112
"c:\Users\ankit\Downloads\xace\packages\network-core\tests\test_replication.rs", "Rust", 149, 0, 0, 21, 170
"c:\Users\ankit\Downloads\xace\packages\network-core\tests\test_session_authority.rs", "Rust", 134, 0, 0, 23, 157
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\cgs_loader.rs", "Rust", 285, 0, -15, 18, 288
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\engine_bridge.rs", "Rust", 62, 0, -32, -1, 29
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\engine_protocol.rs", "Rust", 233, 0, -59, 8, 182
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\tcp_server.rs", "Rust", 54, 0, -17, 1, 38
"Total", "-", 5644, 335, -103, 636, 6512
