"filename", "language", "JSON with Comments", "Markdown", "JSON", "C++", "C#", "Python", "Rust", "TypeScript JSX", "pip requirements", "TypeScript", "HTML", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\.xace\exports\godot\xace_export_manifest.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\ankit\Downloads\xace\.xace\exports\unity\XaceConsoleWidget.cs", "C#", 0, 0, 0, 0, 346, 0, 0, 0, 0, 0, 0, 70, 67, 483
"c:\Users\ankit\Downloads\xace\.xace\exports\unity\XaceDeltaApplicator.cs", "C#", 0, 0, 0, 0, 405, 0, 0, 0, 0, 0, 0, 85, 112, 602
"c:\Users\ankit\Downloads\xace\.xace\exports\unity\XaceInputCollector.cs", "C#", 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 60, 47, 337
"c:\Users\ankit\Downloads\xace\.xace\exports\unity\XaceTransport.cs", "C#", 0, 0, 0, 0, 299, 0, 0, 0, 0, 0, 0, 82, 66, 447
"c:\Users\ankit\Downloads\xace\.xace\exports\unity\Xace_embedded.cs", "C#", 0, 0, 0, 0, 223, 0, 0, 0, 0, 0, 0, 85, 63, 371
"c:\Users\ankit\Downloads\xace\.xace\exports\unity\xace_export_manifest.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceConsoleWidget.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceConsoleWidget.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceDeltaApplicator.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceDeltaApplicator.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceInputCollector.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceInputCollector.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceTransport.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceTransport.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ankit\Downloads\xace\.xace\exports\unreal\xace_export_manifest.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\ankit\Downloads\xace\CLAUDE.md", "Markdown", 0, 316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 406
"c:\Users\ankit\Downloads\xace\MASTER_PLAN.md", "Markdown", 0, 750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 915
